sample,iterations,T_C,T_C_sd,H2OT-eq_wtpc,H2OT-eq_wtpc_sd,CO2T-eq_ppmw,CO2T-eq_ppmw_sd,ST_ppmw,ST_ppmw_sd,X_ppmw,X_ppmw_sd,SCSS_ppm,SCSS_ppm_sd,sulfide saturated,P_bar_sulf,P_bar_sulf_sd,fO2_DFMQ_sulf,fO2_DFMQ_sulf_sd,fO2_bar_sulf,fO2_bar_sulf_sd,Fe3+/FeT_sulf,Fe3+/FeT_sulf_sd,S6+/ST_sulf,S6+/ST_sulf_sd,SCAS_ppm,SCAS_ppm_sd,anhydrite saturated,P_bar_anh,P_bar_anh_sd,fO2_DFMQ_anh,fO2_DFMQ_anh_sd,fO2_bar_anh,fO2_bar_anh_sd,Fe3+/FeT_anh,Fe3+/FeT_anh_sd,S6+/ST_anh,S6+/ST_anh_sd,setup opt,COH_species opt,H2S_m opt,species X opt,Hspeciation opt,fO2 opt,NNObuffer opt,FMQbuffer opt,carbon dioxide opt,water opt,hydrogen opt,sulfide opt,sulfate opt,hydrogen sulfide opt,methane opt,carbon monoxide opt,species X solubility opt,Cspeccomp opt,Hspeccomp opt,SCSS opt,SCAS opt,sulfur_saturation opt,sulfur_is_sat opt,graphite_saturation opt,ideal_gas opt,y_CO2 opt,y_SO2 opt,y_H2S opt,y_H2 opt,y_O2 opt,y_S2 opt,y_CO opt,y_CH4 opt,y_H2O opt,y_OCS opt,y_X opt,KHOg opt,KHOSg opt,KOSg opt,KOSg2 opt,KCOg opt,KCOHg opt,KOCSg opt,KCOs opt,carbonylsulfide opt,density opt,Date
AGR19-02-10,100,1034.6724838046039,44.6174603301245,4.550752814766819,0.2423124858858472,482.47328563367586,67.81683684806791,1565.8822276206656,99.12341232618151,0.0,0.0,583.759602713052,68.29759879462742,possible,2631.838321643728,179.64220745671247,1.5333053337718827,0.10428809917641217,4.131846632472001e-09,7.651309992097679e-09,0.27383365705833596,0.012782315964324779,0.6261348015297636,0.04670908513575383,4465.727227967019,1135.3502901370273,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:37:46.307002
AGR19-02-11,100,1051.6114919598876,53.83294628465021,3.4768681482903068,0.24398646966771015,415.53271115865766,75.71243942706681,1126.3767114394689,103.60261031600974,0.0,0.0,689.6517130468161,94.46511792083611,possible,1880.334508987821,188.66806871891845,1.2398898932546114,0.15531211435168205,3.7060475337288785e-09,7.649489611017545e-09,0.2489993613153481,0.016576898583443057,0.38475254007857795,0.08703301981912684,4401.674939856828,1294.0778496316852,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:39:49.286137
AGR19-02-12B,100,1045.0877981564363,53.0727621871331,2.9705039566669638,0.2564593343596233,430.398593845677,77.92081799215265,1457.7955341735535,96.66658824978744,0.0,0.0,791.0466482431519,99.9535363075051,possible,1680.3524263534841,182.45260396364083,1.2960687489860019,0.14593560275899256,2.8628461346317422e-09,3.988824922614725e-09,0.25817839800651043,0.01669589924492603,0.4546711782951124,0.08057514091642236,4206.677132333671,1174.2527527744187,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:41:26.750259
AGR19-02-13,100,1046.6682518535679,57.05415292837102,3.319705185991988,0.25640408076843174,125.91480347628074,70.15025783753143,1027.6058161538408,100.97335728168301,0.0,0.0,714.0667687407778,97.71413634885985,Both,1275.7606992223493,194.75267138108788,1.2510980129750657,0.18498768309626112,2.3871269014164807e-09,3.273698938068727e-09,0.24802562680770093,0.01898905876978191,0.312751505836419,0.10005547026491876,4084.0615103389364,1286.590801549431,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:43:01.416739
AGR19-02-14,100,1077.8712267922003,50.65662251800683,3.58708604997759,0.2527057364171216,445.61429499914277,77.39760967202747,1170.590090062151,93.67111432492848,0.0,0.0,741.4623054608406,87.66384868935076,possible,1996.6522157145685,169.5440713010393,1.2006529814732354,0.15029916949633662,6.636270439727705e-09,1.0082543426171474e-08,0.23658130409962616,0.01470626448988266,0.36301669433069106,0.08821456897687456,4958.465869004552,1353.78511596672,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:44:22.326111
AGR19-02-15,100,1039.9946816602894,57.599061378317266,4.2388506344499595,0.24653581827026413,908.5379520556452,71.32053922498868,1313.1133880190573,86.41801300140958,0.0,0.0,659.4236561173999,91.86225205078726,possible,3065.0060997998594,172.4877068144767,1.3219297015640012,0.14410520835910112,4.386787359232528e-09,7.42145440220295e-09,0.26145830288423194,0.017022649939402886,0.49559196700450375,0.07902470752728925,4761.0833024486,1548.1962004955428,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:46:14.048025
AGR19-02-16,100,1083.7395947295288,48.2911638225377,4.326735034247773,0.26311896798145434,544.1248577166951,81.15991672514572,1535.3042707077734,100.99709109894248,0.0,0.0,764.58901806294,87.25444874129413,possible,2608.1811183877317,204.34837209024408,1.323712394465314,0.1136986545947512,1.1432710360321685e-08,1.549741795048455e-08,0.2512847984588764,0.012240189035936056,0.49989559932304417,0.0653021746634246,5618.183046524878,1420.54872469053,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:48:40.751945
AGR19-02-17,100,1037.062873313172,43.50923935512385,4.173561968857569,0.2587499670356536,396.08209507437414,82.11401201478863,1024.8538100660378,102.76329805813353,0.0,0.0,521.0379072256192,60.86916818368876,possible,2219.6774473848754,199.47809059597688,1.4225318651027714,0.1223966234228391,2.7921844773967396e-09,3.5742115752118293e-09,0.26288145081546505,0.013871679622331693,0.4870168566838214,0.07564165728994945,3854.369953946849,945.4358664138169,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:50:46.660812
Ala02-1,100,1116.3469434226329,47.594620876515215,3.980846384375389,0.25141250918110164,219.41397511775332,72.96490577216446,1017.2114135536543,88.24930562274284,0.0,0.0,782.0735995302041,83.12773606714892,Both,1802.1118726770906,180.78258990330895,1.035498009867135,0.16945054121096467,1.040904222870751e-08,1.1302953091829198e-08,0.2201435235548079,0.014774404809491446,0.23485422314280685,0.08804721992984907,6507.544706200148,1520.7831322207835,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:52:40.282620
Ala02-2,100,1099.819655083705,52.47328618117334,3.106472293797973,0.21654354038287038,184.07532521742917,80.69329683399029,564.146510926101,101.08079334065891,0.0,0.0,674.1486935215542,77.30642584262785,Both,1239.9416326838873,194.94818673913653,0.9412535288524246,0.12162103772867416,7.902604137635689e-10,9.910157134342697e-10,0.20826793824471218,0.010357915442075356,0.09248517294832287,0.0498143793379955,4764.091651695139,1248.8010528452403,False,,,,,,,,,,,False,yes_H2_CO_CH4_melt,True,Ar,none,Kress91A,Frost91,Frost91,MORB_Dixon95,Basalt_Hughes24,Basalt_Hughes24,ONeill21dil,ONeill22dil,Basalt_Hughes24,Basalt_Ardia13,Basalt_Hughes24,Ar_Basalt_HughesIP,Basalt,MORB_HughesIP,ONeill21hyd,Zajacz19_pss,False,no,False,False,Shi92,Shi92_Hughes23,Shi92_Hughes24,Shaw64,Shi92,Shi92,Shi92,Shi92,Holland91,Shi92,ideal,Ohmoto97,Ohmoto97,Ohmoto97,ONeill22,Ohmoto97,Ohmoto97,Moussallam19,Holloway92,COS,DensityX,2025-09-09 19:54:28.530443
