P_bar,H2O_wtpc,CO2_ppm
1000,0.0,485.47847069321085
1000,0.16589800690961493,485.09068943409176
1000,0.3323628376327854,482.2660963467717
1000,0.499397402141627,476.99217423303264
1000,0.6670046303614364,469.2563139313714
1000,0.8351874723420041,459.045813474579
1000,1.0039488984306955,446.34787723803953
1000,1.1732918994473212,431.149615078631
1000,1.34321948686082,413.4380414641039
1000,1.513734692967771,393.20007459281743
1000,1.6848405710727654,370.422535503707
1000,1.8565401956706529,345.0921471763566
1000,2.028836662630688,317.19553362104733
1000,2.201733089382606,286.71921895865177
1000,2.3752326151046352,253.6496264902425
1000,2.549338400913492,217.97307775627837
1000,2.7240536300563636,179.675791585234
1000,2.8993815081049124,138.74388313153264
1000,3.075325263151323,95.16336290264512
1000,3.2518881460064266,48.92013577520362
1000,3.4290734303999058,0.0
2000,0.0,1031.6442964883522
2000,0.23649402216850945,1031.5670276655337
2000,0.4741407592702537,1026.3069219943277
2000,0.7129486597085283,1015.8259658092591
2000,0.9529262546481361,1000.0857451407687
2000,1.1940821590313009,979.0474404571107
2000,1.436425072608584,952.6718213231236
2000,1.6799637809850614,920.9192409743425
2000,1.924707156682021,883.7496308048798
2000,2.170664160214463,841.1224947674733
2000,2.4178438411846614,792.9969036840629
2000,2.6662553393920776,739.3314894652243
2000,2.9159078859599097,680.0844392367532
2000,3.1668108044785694,615.2134893716525
2000,3.4189735121663802,544.6759194257423
2000,3.6724055210478035,468.4285459750745
2000,3.9271164391495077,386.42771635328415
2000,4.1831159717145825,298.62930228698343
2000,4.4404139224352335,204.98869342726064
2000,4.699020194704283,105.46079077528252
2000,4.958944792885799,0.0
3000,0.0,1654.3546029887564
3000,0.2958225026239527,1655.2368903525878
3000,0.593449724287894,1647.804655131495
3000,0.8928982305480745,1631.981514632601
3000,1.1941847903237819,1607.69007625806
3000,1.49732637902762,1574.8519208421544
3000,1.802340181753784,1533.3875856572756
3000,2.1092435965255962,1483.2165470810876
3000,2.4180542376035765,1424.2572029169678
3000,2.7287899388553916,1356.4268543596042
3000,3.041468757189014,1279.6416875974123
3000,3.356108976050489,1193.8167550432104
3000,3.672729108987737,1098.8659561843667
3000,3.9913479032818464,994.7020180433723
3000,4.3119843436473415,881.2364752395798
3000,4.6346576560029815,758.3796496425692
3000,4.959387311314639,626.0406296073476
3000,5.2861930295119,484.12724878132246
3000,5.615094783480008,332.5460644727179
3000,5.946112803128869,171.20233556980156
3000,6.279267579540862,0.0
4000,0.0,2361.259114272404
4000,0.3520656807991432,2363.8795276579976
4000,0.7066890433874355,2354.6316760550912
4000,1.0638980608901072,2333.3856443034047
4000,1.423721115844209,2300.0094679797185
4000,1.7861870077162545,2254.3690930365046
4000,2.1513249605861255,2196.328334482543
4000,2.5191646310015336,2125.7488340788905
4000,2.8897361160074855,2042.4900170226997
4000,3.2630699613553067,1946.4090475905534
4000,3.6391971698959322,1837.3607837120073
4000,4.0181492101623055,1715.1977304431446
4000,4.399958025145875,1579.7699923089224
4000,4.784656041272332,1430.92522448211
4000,5.172276177581878,1268.5085827655312
4000,5.562851855119496,1092.362672343272
4000,5.956417006540836,902.3274952653319
4000,6.353006085939512,698.240396629084
4000,6.7526540789018155,479.93600941961967
4000,7.155396512794956,247.2461979698713
4000,7.561269467295255,0.0
5000,0.0,3158.9143323476005
5000,0.4082936908971102,3164.239859055693
5000,0.8200292678054605,3153.691111280232
5000,1.2352504372180806,3127.0663379402276
5000,1.6540016487777884,3084.160091783804
5000,2.076328111139519,3024.7631447793897
5000,2.502275808240676,2948.662401171333
5000,2.9318915159918255,2855.6408081243612
5000,3.3652228194004437,2745.477263878526
5000,3.8023181301408746,2617.9465233333344
5000,4.2432267045841545,2472.8191009767093
5000,4.687998662301767,2309.8611710712785
5000,5.136685005057963,2128.8344650071435
5000,5.5893376363057214,1929.4961657268389
5000,6.04600938120205,1711.5987991246075
5000,6.506754007158802,1474.8901223183152
5000,6.9716262449458055,1219.1130086884496
5000,7.440681810363707,944.0053295745478
5000,7.91397742650457,649.2998325150843
5000,8.391570846618867,334.7240159124587
5000,8.873520877608268,0.0
