,pressure,fO2,wS_melt,wH2O_melt,wCO2_melt,XS_melt,phi_H2O,XS_fluid,XH2O_fluid,XCO2_fluid,XSO2_fluid,XH2S_fluid,phi_H2S,phi_SO2,wS_fluid,melt_fraction,vapor_fraction,crystal_fraction,DS_bulk,kd_combined_wt,kd_combined_molar,kd_RxnI,kd_RxnIa,kd_RxnII,SO2/ST,S6+/ST,water_fugacity,SO2_fugacity,H2S_fugacity,electron_balance,sulfate_m,sulfide_m,SO2_f,H2S_f,ferric,ferrous,ferric_ratio,FeOT,Fe_cr,ferric_cr,ferrous_cr,FMQ,SCSS,SCAS,fH2,accXS_fluid,accXH2O_fluid,accXCO2_fluid,accXSO2_fluid,accXH2S_fluid,accmelt_fraction,accvapor_fraction,acccrystal_fraction,accCO2_S,d34s_melt,d34s_fluid,accd34s_fluid,alpha,SCSS_S6+,sulfide_frac
0,299.296875,-8.148424439186504,1544.07,4.32,999.0,0.0022028832548036596,1.0088216144607083,0.0,0.7270391677512877,0.27296083224871226,0.0,0.0,1.7189416766549395,1.8364089644520367,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5722975460307209,2195.201390771319,0.0,0.0,0.12286425037594423,0.0,0.0,0.0,0.0,0.030291193116191717,0.10638765525727042,0.22162312220705777,9.819555182543013,0.0,0.0,0.0,-9.158424439186504,1316.7059231117923,6542.383115982,9.329687873968094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3078.555923381184,0.0
1,298.7988835559265,-8.247955879319672,1430.132467568729,4.275099311825049,685.6717038125865,0.002026846511441248,1.0085984371173407,0.10363266415608666,0.7163843322288498,0.18779743973116456,0.03602438337230757,0.06760828078377909,1.7166045471911333,1.8341040163298084,12.892329730020428,0.9990342628942138,0.0009657371057861922,0.0,83.49575945404308,83.49575945404308,47.044101828865784,13.109880472852435,0.0,67.29985679840233,0.3476161079681338,0.6262084550868089,2158.953757368785,197.42379142998135,346.77607076902524,0.12286425037594423,0.0027902578093120076,0.0016655392765405057,0.00013497675132123993,0.00025331581690926717,0.029222334463257664,0.10732451807475409,0.2140095792769942,9.819555182543013,0.0,0.0,0.0,-9.158820198741815,1305.5594746275533,6523.448525672764,10.28967850693618,0.10363266415608666,0.7163843322288498,0.18779743973116456,0.03602438337230757,0.06760828078377909,0.9990342628942138,0.0009657371057861922,0.0,1.8121452464863093,1.0732764105126495,0.08024185231281233,0.08024185231281233,-0.9930345581998372,3492.747474881367,0.0
2,298.3008921118531,-8.257055562919607,1456.1019803722713,4.275099311825049,736.8321833341462,0.0020625975237737086,1.0083758355107677,0.09509595532476871,0.7199379447533785,0.20217795146536816,0.03231483923610105,0.06278111608866765,1.7142706386982463,1.8318021096031036,11.69629296258307,0.9992521680759829,0.000747831924017114,0.0,81.78468238307423,81.78468238307423,46.91818289543196,13.229643370954797,0.0,67.89291648363131,0.3398129723366302,0.6162920294771871,2165.5690996651315,176.57739549106986,321.04282704383394,0.12286425037594423,0.0027965474884538155,0.0017411511263184427,9.26959902323652e-05,0.00018008932927726618,0.029139697055632848,0.10743693851167772,0.21335784802863744,9.819555182543013,0.0,0.0,0.0,-9.159215958297123,1304.950796925599,6527.587387433384,10.429905011648325,0.09509595532476871,0.7199379447533785,0.20217795146536816,0.03231483923610105,0.06278111608866765,0.9992521680759829,0.000747831924017114,0.0,2.126041541671214,1.0838283984840893,-0.387580367964119,-0.387580367964119,-1.4714087664482083,3400.8957258499654,0.0
3,297.8029006677796,-8.25640913716406,1453.070124105543,4.275099311825049,729.2141538425384,0.002058448782568898,1.0081538101799314,0.09691876679580701,0.720592398330368,0.2004735463899133,0.033001915095943704,0.0639168516998633,1.7119399473417263,1.8295032404272702,11.911640124471187,0.9992249743600886,0.0007750256399114177,0.0,81.8049853996203,81.8049853996203,46.988695408925615,13.24506640008455,0.0,67.91918558374417,0.3405110917834281,0.6171773686100092,2163.4426929295623,179.80478673101427,325.86132930504266,0.12286425037594423,0.002794657573867968,0.0017334695351380268,9.803646730168648e-05,0.0001898732944280126,0.029150817721952743,0.1074221010395864,0.21344508110609425,9.819555182543013,0.0,0.0,0.0,-9.159611717852432,1305.1747938978494,6527.010247156389,10.411912031081298,0.09691876679580701,0.720592398330368,0.2004735463899133,0.033001915095943704,0.0639168516998633,0.9992249743600886,0.0007750256399114177,0.0,2.0684698435369113,1.100909436947186,-0.6113042641764685,-0.6113042641764685,-1.7122137011236545,3409.3459656731625,0.0
4,297.3049092237062,-8.256291236648757,1451.3101398720514,4.275099311825049,725.0436503275857,0.0020560360883059847,1.0079323613187163,0.0968250111063479,0.7214090675006991,0.19971086883002281,0.03299310794296413,0.06383190316338377,1.7096124692930974,1.8272074049636586,11.910299830025226,0.9992106042885104,0.0007893957114896373,0.0,81.96644905459584,81.96644905459584,47.03785293385461,13.266321686124053,0.0,67.97643375373728,0.3407498493000543,0.6172813392521326,2161.797779450482,179.23101119534266,324.44235901433785,0.12286425037594423,0.0027917027085781173,0.0017308748116825884,9.991297379332302e-05,0.00019330204595960603,0.029156845573200123,0.10741410910350464,0.21349228788962604,9.819555182543011,0.0,0.0,0.0,-9.16000747740774,1305.353867944068,6526.692206280338,10.402583501802953,0.0968250111063479,0.7214090675006991,0.19971086883002281,0.03299310794296413,0.06383190316338377,0.9992106042885104,0.0007893957114896373,0.0,2.062595878359054,1.110092815247127,-0.7224995690466178,-0.7224995690466178,-1.8325923842937448,3410.740060056875,0.0
5,296.8069177796327,-8.25615146936217,1449.4921170971945,4.275099311825049,720.7489370050378,0.002053544163034786,1.0077114898556863,0.09681516914914337,0.7222201299245623,0.198910830270877,0.033014765816271496,0.06380040333287187,1.7072882007299592,1.8249145993796008,11.918363014302313,0.9991956626096141,0.0008043373903858242,0.0,82.12140663023995,82.12140663023995,47.08826352795763,13.287353484505983,0.0,68.0327408698919,0.3410081922742126,0.6174202368047299,2160.1296515253825,178.82358020128942,323.29894104830487,0.12286425037594423,0.0027887912921959433,0.0017280533558325726,0.00010195028288980223,0.00019701697126877718,0.029163084252794937,0.10740582821244554,0.21354116194062486,9.819555182543013,0.0,0.0,0.0,-9.160403236963049,1305.534752736165,6526.360998900916,10.392883975450028,0.09681516914914337,0.7222201299245623,0.198910830270877,0.033014765816271496,0.06380040333287187,0.9991956626096141,0.0008043373903858242,0.0,2.0545419898451622,1.1159404051029922,-0.7768922087476524,-0.7768922087476524,-1.8928326138506446,3412.451149617695,0.0
6,296.30892633555925,-8.256011302176551,1447.6654412345101,4.275099311825049,716.469563467391,0.0020510402653543622,1.0074911958830925,0.0968017566063704,0.7230322425770307,0.198111757049575,0.0330352837582273,0.0637664728481431,1.7049671378360018,1.822624819848415,11.926042030882833,0.9991806685144377,0.0008193314855623347,0.0,82.2773845418791,82.2773845418791,47.13887256425692,13.308401874465245,0.0,68.08934748992966,0.3412673996460648,0.6175590857314716,2158.458281082755,178.41035461491342,322.1462963882948,0.12286425037594423,0.0027858613705361327,0.0017252233740699683,0.00010399669531656306,0.00020073998748531047,0.029169326772040437,0.10739753631753894,0.2135900767736546,9.819555182543015,0.0,0.0,0.0,-9.160798996518357,1305.7156306965246,6526.02740163496,10.383166922683895,0.0968017566063704,0.7230322425770307,0.198111757049575,0.0330352837582273,0.0637664728481431,0.9991806685144377,0.0008193314855623347,0.0,2.046571921779956,1.1200633312770731,-0.8029389654914232,-0.8029389654914232,-1.9230022967684963,3414.1630301085534,0.0
7,295.81093489148583,-8.255869941423537,1445.828261637475,4.275099311825049,712.2005486046056,0.0020485218741977417,1.0072714801133142,0.09678801943700793,0.7238451490795831,0.1973122788552697,0.033055835220186854,0.06373218421682109,1.7026492768009907,1.820338062549424,11.933699275198418,0.9991656023997453,0.0008343976002547218,0.0,82.43409654803837,82.43409654803837,47.18972175823457,13.329457435044601,0.0,68.14621000233117,0.3415281706606303,0.6176992021121117,2156.782891153337,177.99770756013746,320.994968527539,0.12286425037594423,0.0027829152471085584,0.0017223767098712766,0.00010605799768325063,0.00020448153256428007,0.029175580777183747,0.10738922309319,0.2136390925796443,9.819555182543015,0.0,0.0,0.0,-9.161194756073668,1305.896568219024,6525.690990493337,10.37341914817598,0.09678801943700793,0.7238451490795831,0.1973122788552697,0.033055835220186854,0.06373218421682109,0.9991656023997453,0.0008343976002547218,0.0,2.0386022981251877,1.1233144036029556,-0.8148238494946458,-0.8148238494946458,-1.9381382530976015,3415.8876346420416,0.0
8,295.31294344741235,-8.255727408361778,1443.9805602197691,4.275099311825049,707.9421357221578,0.0020459889625513315,1.0070523430571494,0.09677383504277678,0.7246588458559653,0.1965124631996793,0.03307637684635379,0.063697458196423,1.7003346138207966,1.81805432366792,11.941320757508507,0.9991504641902349,0.0008495358097650581,0.0,82.59155720185153,82.59155720185153,47.24081117302012,13.350519867954905,0.0,68.20333189412572,0.3417904935950207,0.6178405455110636,2155.10346196016,177.58540476011135,319.84456893978677,0.12286425037594423,0.0027799526707758333,0.0017195135603960301,0.00010813412969252925,0.00020824134510535902,0.029181846050156036,0.10738088874717536,0.21368820779302589,9.819555182543011,0.0,0.0,0.0,-9.161590515628976,1306.0775626701122,6525.351750609097,10.36364085940968,0.09677383504277678,0.7246588458559653,0.1965124631996793,0.03307637684635379,0.063697458196423,0.9991504641902349,0.0008495358097650581,0.0,2.0306363090066153,1.1261276414843258,-0.8196311499957802,-0.8196311499957802,-1.945758791480106,3417.6246258691567,0.0
9,294.8149520033389,-8.25558369504631,1442.1222544283462,4.275099311825049,703.6943846389689,0.0020434414156745803,1.006833785013678,0.09675920135755064,0.7254733200861777,0.1957123271491337,0.03309690885528168,0.06366229250226896,1.6980231450973684,1.8157735993951751,11.948905942486391,0.9991352531125971,0.0008647468874029405,0.0,82.74977012618373,82.74977012618373,47.292142395965186,13.371588536789822,0.0,68.26071498206959,0.34205438233186647,0.6179831244534661,2153.419945904203,177.17344794002202,318.6950991397239,0.12286425037594423,0.0027769734850113504,0.0017166338241967432,0.00011022524292618467,0.00021201954801832202,0.02918812265483644,0.10737253310992094,0.21373742306214896,9.819555182543013,0.0,0.0,0.0,-9.161986275184285,1306.2586138857403,6525.009652261855,10.353831781275755,0.09675920135755064,0.7254733200861777,0.1957123271491337,0.03309690885528168,0.06366229250226896,0.9991352531125971,0.0008647468874029405,0.0,2.022674065135421,1.1287245247366795,-0.8208985473151384,-0.8208985473151384,-1.949623072051818,3419.374110153999,0.0
